年度,生物質（公噸）,金屬（公噸）,非金屬（公噸）,化石燃料（公噸）,DMC總量（公噸）
109,27486380.55,19397808,103495246.3,106781339.7,257160775
108,27703933.46,19638649.01,90628205.3,109360908.8,247331697
107,28275955.06,19999206,93509842.43,115614049,257399052
106,28421219.08,18413878,94294185.88,116901929.9,258031213
105,27670333,20212013,95198348,115952403,259033097
104,29967745,20375597,106331002,110200678,266875022
103,30621806,20928813,113720386,110718424,275989429
102,25737736,19576306,110114536,115008217,270436795
101,26448293,17174541,116265079,111728031,271615944
100,26965127,19841351,119904879,109484704,276196061
99,28265559,19875216,125886807,111786115,285813697
98,26155313,9474365,114013968,98092183,247735829
97,26220132,17233243,120751531,109636793,273841699
