年度,DPO指標(公噸),DMI指標(公噸),DMC指標(公噸),環境負荷密度(物質輸入=DPO/DMI),環境負荷密度(物質消費=DPO/DMC)
109,285240269,324963919,257160775,0.88,1.11
108,285267399,325407871,247331697,0.88,1.15
107,285701653,336597382,257399052,0.85,1.11
106,287676491,336168949,258031213,0.86,1.11
105,282531006,334241690,259033097,0.85,1.09
104,278584236,341816269,266875022,0.82,1.04
103,279758126,352005878,275989429,0.79,1.01
102,277545646,344138726,270436795,0.81,1.03
101,276258538,341534551,271615944,0.81,1.02
100,280078988,346154876,276196061,0.81,1.01
99,273990913,359086208,285813697,0.76,0.96
98,256701190,319313221,247735829,0.8,1.04
97,271156864,344182394,273841699,0.79,0.99
