年度,DPO總量（公噸）,生物質出口量（公噸）,金屬出口量（公噸）,非金屬出口量（公噸）,化石燃料出口量（公噸）,DMC_出口總量（公噸）,DMO總量（公噸）
109,285240269,5043979,19935842,4887493,37935830,67803144,353043413
108,285267399,5311255,21527586,5333659,45903674,78076174,363343573
107,285701653,5211824,22699582,5501892,45785032,79198330,364899983
106,287676491,4762234,22774098,5730630,44870774,78137736,365814227
105,282531006,4578301,21511280,7241187,41877825,75208593,357739599
104,278584236,4496749,20838182,6506478,43099838,74941247,353525483
103,279758126,4680876,21951304,6346564,43652294,76631038,356389164
102,277545646,4222904,21098004,8921631,40043113,74285652,351831298
101,276258538,4180390,20138768,7514452,38605244,70438854,346697392
100,280078988,3980824,20494656,8671303,37307023,70453806,350532794
99,273990913,3894725,20006268,9965290,39843238,73709521,347700434
98,256701190,3695010,18377290,10463322,39398027,71933649,328634839
97,271156864,3694583,19883751,10103233,37029136,70710703,341867567
