年度,名目GDP(億元台幣),實質GDP(億元台幣),名目GDP(億元美元),實質GDP(億元美元),名目GDP/DMI(台幣元/公斤),實質GDP/DMI(台幣元/公斤),名目GDP/DMI(美元/公斤),實質GDP/DMI(美元/公斤),名目GDP/DMC(台幣元/公斤),實質GDP/DMC(台幣元/公斤),名目GDP/DMC(美元/公斤),實質GDP/DMC(美元/公斤)
109,197662.4,197940.55,6700.42,6709.85,60.82595289,60.91154701,2.061896708,2.064798204,76.86335537,76.97151728,2.60553747,2.609203976
108,188868.78,191402.3,6108.72,6190.66,58.04063085,58.81919838,1.877250239,1.902430946,76.36254626,77.38688727,2.469849244,2.502978844
107,177770.03,186344.82,5894.74,6179.07,52.81384809,55.36133968,1.751273276,1.835745116,69.06398008,72.3953016,2.290117215,2.400579937
106,174311.57,181365.89,5727.67,5959.47,51.85237112,53.95081599,1.703806985,1.772760409,67.55445178,70.28835361,2.219758601,2.309592695
105,171520.93,175552.68,5305.32,5430.03,51.31643811,52.52267603,1.587270577,1.624581901,66.21583573,67.77229707,2.048124375,2.096268802
104,167706.71,171832.35,5255.62,5384.91,49.0634078,50.27038371,1.537557008,1.575381422,62.8409166,64.38682373,1.969318807,2.017764705
103,161118.7,169350.07,5305.19,5576.23,45.77159362,48.11001196,1.507131083,1.584129797,58.37857652,61.36107119,1.922243913,2.020450573
102,152307.4,161718.21,5116.14,5432.26,44.25755909,46.99215688,1.486650474,1.578508778,56.3190375,59.79889312,1.89180618,2.008698557
101,146869.2,157799.09,4958.45,5327.45,43.00273561,46.20296527,1.451815046,1.559856824,54.07237802,58.09640173,1.825537164,1.96139075
100,143122,154369.75,4856.53,5238.2,41.34623255,44.59557288,1.402993381,1.513253276,51.81898666,55.89136552,1.758363237,1.896551305
99,141192.1,148899.12,4461.05,4704.56,39.31983375,41.46612058,1.242333986,1.310147785,49.40004677,52.09656555,1.560824428,1.646023283
98,129616.6,135061.48,3920.65,4085.35,40.59230607,42.29749071,1.227838292,1.279417741,52.32049015,54.51834745,1.582593045,1.649075153
97,131509.5,137275.68,4169.61,4352.43,38.20924669,39.88457353,1.211453599,1.264570785,48.02391326,50.12957504,1.522635163,1.589396361
